ISO3,Name,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
AFG,Afghanistan,2.603,2.427,1.379,1.333,1.282,1.23,1.165,1.084,1.029,0.81,0.758,0.798,1.052,1.186,0.889,1.303,1.635,2.269,4.2,6.74,8.398,12.106,10.219,8.441,7.774,7.904,6.745,6.86,10.453,10.72
ALB,Albania,5.445,4.228,2.495,2.316,1.913,2.066,1.993,1.532,1.744,2.975,3.004,3.221,3.748,4.232,4.104,4.199,3.844,3.829,4.272,4.254,4.448,5.031,4.668,4.928,5.621,4.532,4.496,5.404,5.403,5.579
DZA,Algeria,76.737,78.805,79.882,81.942,86.147,94.982,96.786,87.004,106.621,91.668,87.443,83.781,89.407,91.048,87.853,106.473,100.201,108.4,109.032,120.186,117.814,119.807,128.11,132.435,143.221,150.818,148.839,153.448,164.309,171.707
AND,Andorra,0.407,0.407,0.407,0.41,0.407,0.425,0.454,0.465,0.491,0.513,0.524,0.524,0.531,0.535,0.561,0.575,0.546,0.539,0.539,0.517,0.517,0.491,0.487,0.476,0.462,0.465,0.469,0.465,0.464,0.47
AGO,Angola,5.089,5.063,5.165,5.748,3.866,10.948,10.425,7.348,7.27,9.13,9.515,9.672,12.598,8.988,18.702,19.006,22.102,24.976,25.486,27.566,28.864,30.33,33.801,33.229,44.249,33.979,34.111,37.471,37.679,38.02
AIA,Anguilla,0.051,0.051,0.055,0.066,0.066,0.066,0.07,0.07,0.077,0.081,0.088,0.095,0.095,0.103,0.121,0.128,0.143,0.15,0.15,0.147,0.15,0.143,0.143,0.117,0.139,0.154,0.154,0.143,0.147,0.143
ATG,Antigua and Barbuda,0.22,0.213,0.209,0.216,0.216,0.224,0.238,0.256,0.271,0.282,0.293,0.297,0.33,0.352,0.366,0.374,0.385,0.407,0.418,0.443,0.454,0.443,0.458,0.462,0.462,0.48,0.491,0.491,0.506,0.492
ARG,Argentina,112.079,117.506,121.231,117.777,122.229,127.765,134.762,137.641,139.452,147.285,142.358,134.004,124.392,134.631,157.043,161.434,174.609,174.246,188.106,178.949,186.733,190.274,191.715,190.152,188.697,192.366,190.93,187.416,185.03,178.94
ARM,Armenia,18.212,18.92,5.86,2.574,2.715,3.432,2.593,3.266,3.397,3.048,3.491,3.533,3.077,3.456,3.691,4.376,4.402,5.1,5.575,4.363,4.253,4.969,5.748,5.535,5.56,5.072,5.159,5.485,6.297,6.006
ABW,Aruba,0.487,0.531,0.539,0.649,0.66,0.707,0.725,0.758,0.806,0.81,2.378,2.407,2.437,2.561,2.616,2.719,2.715,2.821,2.656,2.627,2.506,2.499,1.348,0.861,0.872,0.898,0.883,0.916,0.943,0.919
AUS,Australia,278.425,279.873,284.912,289.235,294.015,305.41,312.362,320.795,334.685,344.064,350.195,357.669,362.21,369.726,383.205,386.513,392.681,399.842,404.417,407.463,405.503,404.173,406.506,397.943,394.117,401.555,411.032,415.097,415.954,411.016
